naam,ondernemingsnummer
Proximus NV,0202.239.951
Colruyt Group NV,0400.378.485
Bekaert NV,0405.388.536
UCB NV,0403.053.608
Umicore NV,0401.574.852
KBC Group NV,0403.227.515
Delhaize NV,0402.206.045
D'leteren Group NV,0403.448.140
Elia Group NV,0476.388.378
Lotus Bakeries NV,0401.418.631
